'Borough','Pickup_Zone','trip_count','avg_duration_min'
'Queens','Cambria Heights',37529,17.122571877747874147
'Bronx','Eastchester',103462,15.078009317430554503
'Brooklyn','Gravesend',50696,16.345313239703330054
'Queens','Glen Oaks',24764,19.075593603618155924
'Queens','Far Rockaway',67725,24.039896640826876605
'Bronx','Pelham Bay',44926,15.313537817744736102
'Staten Island','Eltingville/Annadale/Prince''s Bay',13082,16.791010548845743954
'Queens','Bellerose',24390,17.150963509635097636
'Staten Island','Arrochar/Fort Wadsworth',18322,18.036458901866609494
'Staten Island','Oakwood',10949,18.367704813224950299
'Queens','Willets Point',2213,20.777225485765926649
'Staten Island','South Beach/Dongan Hills',26885,18.175674167751534326
'Staten Island','Rossville/Woodrow',7700,17.166753246753245321
'Queens','Jamaica Bay',78,28.435897435897432572
'Manhattan','Times Sq/Theatre District',411519,19.646733200654161066
'Manhattan','Midtown East',403255,17.507467979318295903
'Manhattan','Gramercy',371924,16.419970208967424873
'Manhattan','West Chelsea/Hudson Yards',348791,18.023911167432647317
'Manhattan','Clinton West',230141,17.669072438200927877
'Manhattan','Alphabet City',122990,17.824465403691355902
'Brooklyn','Bensonhurst East',88734,16.371717718123828255
'Manhattan','Central Harlem North',379636,16.297727296673656383
'Manhattan','Manhattanville',92770,16.575358413280156355
'Queens','Old Astoria',120382,17.217100563207125674
'Brooklyn','Kensington',67987,18.477032373836173917
'Queens','Flushing Meadows-Corona Park',17047,24.186191118671906963
'Bronx','Van Nest/Morris Park',148675,16.050102572725744032
'Brooklyn','Prospect Heights',112567,18.812245151776274099
'Queens','Woodside',140613,15.855696130514247421
'Brooklyn','Sunset Park West',160556,19.099691073519519335
'Brooklyn','Brownsville',263540,16.678010928132351864
'Brooklyn','Ocean Hill',179901,17.361787872218609862
'Bronx','Schuylerville/Edgewater Park',109207,16.021921671687710642
'Queens','Woodhaven',111876,17.168329221638241044
'Queens','Fresh Meadows',28603,16.876166835646611019
'Bronx','Morrisania/Melrose',155583,16.237455248966790044
'Bronx','University Heights/Morris Heights',183443,15.360215434767203745
'Brooklyn','Brooklyn Navy Yard',27056,18.432177705499704245
'Bronx','Allerton/Pelham Gardens',79265,15.065363022771713907
'Brooklyn','Borough Park',172245,16.257627217045489409
'Queens','Queens Village',90845,16.63739336232043442
'Queens','Rosedale',59334,16.116240266963290928
'Staten Island','Freshkills Park',786,17.419847328244273398
'Queens','Douglaston',17748,17.606378183457291441
'Brooklyn','Bath Beach',37672,16.881264599702696216
'Staten Island','Charleston/Tottenville',13165,17.707633877706037139
'Bronx','Van Cortlandt Park',21897,15.149792208978398733
'Staten Island','Stapleton',62147,23.438556969765231841
'Bronx','City Island',7759,23.254800876401597875
'Staten Island','Port Richmond',22583,16.949519550104059639
'Staten Island','Mariners Harbor',45161,15.84280684661544214
'Manhattan','East Village',572276,16.654993394795518213
'Manhattan','Clinton East',459173,17.665857966387394917
'Queens','Elmhurst',246253,16.542953791425891729
'Brooklyn','Flatbush/Ditmas Park',304834,18.472312799753307643
'Manhattan','Washington Heights North',203005,17.021960050245066753
'Bronx','Bedford Park',184629,15.379615336702250338
'Queens','North Corona',85988,15.525177931804437392
'Brooklyn','Marine Park/Mill Basin',104286,18.045212204898067653
'Brooklyn','Stuyvesant Heights',313568,18.872046892540055296
'Brooklyn','Red Hook',63855,20.708433168898285892
'Queens','Ozone Park',53590,15.671319275984325614
'Queens','Whitestone',43750,24.576388571428569029
'Queens','Springfield Gardens North',75061,16.346904517658971123
