'indiv_fare','borough_avg_fare','zone_avg_fare','overall_avg_fare'
20.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
51.500000000000003552,10.988030948557472399,16.753926460932369479,12.929082202356720898
13.000000000000000444,10.988030948557472399,16.753926460932369479,12.929082202356720898
20.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
22.000000000000001776,10.988030948557472399,16.753926460932369479,12.929082202356720898
19.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
22.999999999999998223,10.988030948557472399,16.753926460932369479,12.929082202356720898
4.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
21.499999999999999111,10.988030948557472399,16.753926460932369479,12.929082202356720898
22.999999999999998223,10.988030948557472399,16.753926460932369479,12.929082202356720898
5.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
17.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
18.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
20.499999999999998223,10.988030948557472399,16.753926460932369479,12.929082202356720898
7.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
12.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
11.000000000000000888,10.988030948557472399,16.753926460932369479,12.929082202356720898
52.000000000000001776,10.988030948557472399,16.753926460932369479,12.929082202356720898
5.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
19.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
13.500000000000000888,10.988030948557472399,16.753926460932369479,12.929082202356720898
14.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
16.000000000000000888,10.988030948557472399,16.753926460932369479,12.929082202356720898
4.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
24.500000000000001776,10.988030948557472399,16.753926460932369479,12.929082202356720898
7.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
7.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
11.499999999999999111,10.988030948557472399,16.753926460932369479,12.929082202356720898
14.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
13.999999999999999111,10.988030948557472399,16.753926460932369479,12.929082202356720898
21.000000000000000888,10.988030948557472399,16.753926460932369479,12.929082202356720898
8.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
15.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
9.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
7.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
17.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
12.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
4.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
20.499999999999998223,10.988030948557472399,16.753926460932369479,12.929082202356720898
8.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
20.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
5.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
25.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
4.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
9.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
22.999999999999998223,10.988030948557472399,16.753926460932369479,12.929082202356720898
17.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
21.499999999999999111,10.988030948557472399,16.753926460932369479,12.929082202356720898
23.999999999999999111,10.988030948557472399,16.753926460932369479,12.929082202356720898
11.999999999999999644,10.988030948557472399,16.753926460932369479,12.929082202356720898
10.500000000000000444,10.988030948557472399,16.753926460932369479,12.929082202356720898
6.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
22.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
15.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
4.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
26.800000000000001598,10.988030948557472399,16.753926460932369479,12.929082202356720898
52.000000000000001776,10.988030948557472399,16.753926460932369479,12.929082202356720898
23.500000000000000888,10.988030948557472399,16.753926460932369479,12.929082202356720898
20.499999999999998223,10.988030948557472399,16.753926460932369479,12.929082202356720898
9.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
16.499999999999999111,10.988030948557472399,16.753926460932369479,12.929082202356720898
6.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
19.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
19.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
15.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
13.999999999999999111,10.988030948557472399,16.753926460932369479,12.929082202356720898
13.999999999999999111,10.988030948557472399,16.753926460932369479,12.929082202356720898
18.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
11.999999999999999644,10.988030948557472399,16.753926460932369479,12.929082202356720898
19.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
33.999999999999999111,10.988030948557472399,16.753926460932369479,12.929082202356720898
22.000000000000001776,10.988030948557472399,16.753926460932369479,12.929082202356720898
15.5,10.988030948557472399,16.753926460932369479,12.929082202356720898
19.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
5.0,10.988030948557472399,16.753926460932369479,12.929082202356720898
