'Zone','avg_btn_pickups'
'NV',71.15519555225525039
'East Village',110.36303175920667563
'Crown Heights North',117.80875423890051489
'Upper East Side North',132.06680551373415344
'Clinton East',144.67399580113768919
'East New York',148.67392875386348904
'TriBeCa/Civic Center',156.6541929274965561
'Bushwick South',160.42346193607710524
'Times Sq/Theatre District',161.41728429862121529
'Central Harlem North',166.36525083303701499
'Midtown South',168.07242945907987063
'Lenox Hill West',171.04203621906930443
'West Chelsea/Hudson Yards',181.0752286476103201
'Midtown North',182.00371757925070781
'Astoria',188.8613207660012172
'Lower East Side',190.34418191133479325
'Lenox Hill East',191.16350219590964698
'East Harlem North',193.98700165857853505
'Upper West Side North',199.20152657309571964
'East Harlem South',199.52140453963892241
'Bedford',199.75226215363983683
'Stuyvesant Heights',201.41806376308730719
'Yorkville West',202.69111162459321207
'Flatiron',203.88379630376887163
'Washington Heights South',205.39632704697048382
'Flatbush/Ditmas Park',207.18806034779699842
'Park Slope',209.69745435469038241
'Canarsie',213.40145223308710775
'Prospect-Lefferts Gardens',216.151646862337099
'Kips Bay',221.77620619425524317
'Central Harlem',227.66252969356601809
'Greenwich Village North',239.07805142104385787
'Brownsville',239.64961922144349948
'Williamsburg (South Side)',243.32506299073055622
'Bushwick North',245.66693116753794967
'Garment District',247.55601591439155839
'UN/Turtle Bay South',253.70639109825661172
'Elmhurst',256.47751490343226876
'East Williamsburg',256.945301725365427
'Greenpoint',257.66750709879562286
'Greenwich Village South',262.71684809963353757
'Lincoln Square West',268.33229524703763324
'Clinton West',274.43277135656556353
'Mott Haven/Port Morris',274.99652977341209059
'Fort Greene',277.65095484279385118
'Long Island City/Hunters Point',284.24596973815674516
'Jamaica',284.31246848890809886
'Financial District North',290.71532336018410802
'East Flatbush/Remsen Village',291.78812294699492113
'SoHo',293.41470383275257916
'Sunnyside',308.12800710337460152
'East Concourse/Concourse Village',308.30687182391103284
'Meatpacking/West Village West',309.55589359026078888
'Ridgewood',309.7981968636414507
'Washington Heights North',311.11666272585760673
'Forest Hills',311.2280009264324132
'Soundview/Castle Hill',312.41523545706373354
'Clinton Hill',315.97016754801559024
'Mount Hope',316.82491334206184241
'Flatlands',324.57897008942335759
'West Concourse',328.84319483494746094
'South Ozone Park',336.5003622995364374
'Bedford Park',342.08243061724115108
'Williamsbridge/Olinville',342.81798196809405432
'University Heights/Morris Heights',344.29442548598467865
'Ocean Hill',351.07295719844358039
'Boerum Hill',354.96379976057594873
'Morningside Heights',355.97503114062032381
'Bay Ridge',356.15558863832448288
'Melrose South',359.46780573594612206
'East Flatbush/Farragut',362.55005051548763184
'Manhattan Valley',366.12428405797099451
'Borough Park',366.66723369173963575
'Two Bridges/Seward Park',370.71455152699757107
'East Tremont',371.61049330414930302
'Battery Park City',383.24002402970943848
'Steinway',385.70578032917035571
'Sunset Park West',393.37183519666162112
'Norwood',404.07794575850441987
'Morrisania/Melrose',405.94693473538070449
'Brooklyn Heights',411.55354850481238315
'Flushing',411.99184594710951401
'Downtown Brooklyn/MetroTech',417.35722451676853239
'Van Nest/Morris Park',424.80589074081542833
'Van Cortlandt Village',429.52266374684606731
'Saint Albans',429.81569473462135633
'Central Park',433.49012972750360361
'Richmond Hill',449.11413089854086422
'Woodside',449.15978721588478705
'Highbridge',453.20701656189905648
'Crown Heights South',454.86631039151852462
'Claremont/Bathgate',456.28743064385623995
'Inwood',485.05861571073083382
'East New York/Pennsylvania Avenue',500.14460044821387185
'World Trade Center',505.14056051444473638
'Alphabet City',513.50721609249605492
'Erasmus',515.87922598773152671
'Cypress Hills',518.6494543125323986
'Hudson Sq',521.58517772198731421
'Old Astoria',524.64724499713408789
'Hunts Point',527.59209416167536232
'Spuyten Duyvil/Kingsbridge',530.43022718683072724
'Pelham Parkway',536.58010059302307936
'South Jamaica',539.84695273100262724
'Bensonhurst West',547.47613103442303028
'Prospect Heights',561.07693264395992471
'Woodlawn/Wakefield',563.31664808455608195
'Sheepshead Bay',563.76597397032837122
'Woodhaven',564.53313966480447305
'Belmont',573.853351384257504
'DUMBO/Vinegar Hill',578.22019079356934412
'Schuylerville/Edgewater Park',578.32198780286798722
'Midwood',580.61320867462793415
'Kingsbridge Heights',598.43065596604096967
'Marine Park/Mill Basin',605.62550702402075941
'Eastchester',610.44061047157871513
'Homecrest',612.63952507057011231
'West Farms/Bronx River',621.11367570119195846
'Bronxdale',627.01513030528666092
'Soundview/Bruckner',628.54567982325191266
'Crotona Park East',650.47873195048104832
'Parkchester',659.4947320058057727
'Manhattanville',680.80838426629588511
'Coney Island',687.88546159543413338
'Queens Village',695.23364228787807306
'Longwood',706.5001286425415472
'Bensonhurst East',711.77767008891841271
'Long Island City/Queens Plaza',715.77506658355529722
'Fordham South',717.68122315401923216
'Rego Park',730.42310094374531814
'Maspeth',733.18435105641981408
'North Corona',734.48256131740841112
'Glendale',769.02006672673701714
'East Elmhurst',783.91307852572049696
'JFK Airport',790.52678771014317504
'Madison',792.66805562528235284
'Allerton/Pelham Gardens',796.74692167945089238
'Sunset Park East',797.09368334700574365
'Saint George/New Brighton',798.7112235219727907
'Financial District South',803.53971424572829818
'Chinatown',813.73227768186158215
'Carroll Gardens',815.81353742814695095
'Stuy Town/Peter Cooper Village',830.20031811131271837
'Briarwood/Jamaica Hills',837.24341486047588745
'Springfield Gardens North',841.40405009325878182
'Midtown Center',848.9452571587031926
'Brighton Beach',857.23353195879088417
'Hillcrest/Pomonok',860.01482944100224869
'Seaport',861.60052931707191703
'Bloomingdale',861.92293310041758758
'Union Sq',884.75009058283582419
'Murray Hill',897.61278681589917738
'Kew Gardens',910.57220299884651382
'LaGuardia Airport',919.59490691444649712
'Middle Village',920.42795517145901129
'Kensington',928.9758038419675401
'Far Rockaway',932.57859842891743795
'Springfield Gardens South',942.19299449524864797
'Elmhurst/Maspeth',948.37138480944229712
'Gowanus',980.1068003352058966
'Murray Hill-Queens',986.98087171232558034
'Red Hook',989.04737369624449172
'Stapleton',1016.2440543236894718
'Midtown East',1017.2970410708883637
'Laurelton',1022.8609140673079469
'West Village',1040.8051996488574264
'Corona',1042.8554136288199494
'Bayside',1045.5206760693946943
'Hammels/Arverne',1050.0661235347910071
'Penn Station/Madison Sq West',1056.6442206395612046
'Rosedale',1064.4269630728262487
'Gramercy',1102.988301341944366
'Lincoln Square East',1103.8322955962995841
'Kew Gardens Hills',1129.2053638476668986
'Upper West Side South',1129.9141519308102399
'Riverdale/North Riverdale/Fieldston',1156.2247304150419235
'South Williamsburg',1156.9884221517943156
'Dyker Heights',1171.7234508348794985
'Upper East Side South',1174.466004755730264
'Ozone Park',1178.5448692828752736
'Jamaica Estates',1242.5491766187262143
'Gravesend',1245.7850281092810451
'Starrett City',1297.9875457273213257
'Sutton Place/Turtle Bay North',1328.0943843359687139
'Cobble Hill',1335.2761063069540359
'Windsor Terrace',1350.2226023004231247
'Bloomfield/Emerson Hill',1360.673575352795428
'College Point',1384.5331681866010953
'Mariners Harbor',1398.4882639503986112
'Pelham Bay',1405.7915414579853496
'East Chelsea',1418.7724831293715865
'Williamsburg (North Side)',1424.6728935286478545
'Whitestone',1443.5798303961233202
'Howard Beach',1447.2929853106308861
'Queensboro Hill',1488.8809675366008633
'Hollis',1534.4843286845815555
'Jackson Heights',1534.972254240079259
'Marble Hill',1541.6150072009178195
'Little Italy/NoLiTa',1621.3212764107467478
'Manhattan Beach',1673.7076906768431072
'Bath Beach',1676.5258421597515336
'Cambria Heights',1682.9009539543808848
'Ocean Parkway South',1732.0120666959191169
'East Flushing',1770.9175616184840151
'Grymes Hill/Clifton',1849.5353618180219612
'Heartland Village/Todt Hill',1914.0878617972420627
'Yorkville East',1955.3504022955632279
'NA',2153.5594243426663396
'Fresh Meadows',2207.7503321446050321
'Hamilton Heights',2261.5219572708480377
'Auburndale',2306.75992549033948
'Brooklyn Navy Yard',2334.1908334873404662
'South Beach/Dongan Hills',2349.1085031989284992
'West Brighton',2438.6469225422811035
'Glen Oaks',2550.3774986875584751
'Bellerose',2589.5571774160481837
'Westerleigh',2603.142910140148647
'Bay Terrace/Fort Totten',2752.4325749651326056
'Port Richmond',2796.5682401913025678
'Van Cortlandt Park',2884.2444282060650806
'Oakland Gardens',2986.6610706516599549
'Prospect Park',3038.2462596815318356
'Co-Op City',3064.9426122949101625
'Rockaway Park',3107.0279937026468175
'Great Kills',3184.2506555062524142
'Roosevelt Island',3214.7768388903026348
'Baisley Park',3433.9383637900868784
'New Dorp/Midland Beach',3445.3356246590289835
'Arrochar/Fort Wadsworth',3447.1009224387318958
'Douglaston',3558.7524088578352809
'Columbia Street',3622.3988528821338128
'Flushing Meadows-Corona Park',3704.6473659509562281
'Bronx Park',4036.1251997187963524
'Westchester Village/Unionport',4458.156003781909682
'Charleston/Tottenville',4797.3571103008207927
'Eltingville/Annadale/Prince''s Bay',4827.9886094335298096
'Saint Michaels Cemetery/Woodside',5435.8465180339159417
'Oakwood',5768.7096273291924575
'Country Club',6095.2276061776062832
'Inwood Hill Park',7056.2585513078470711
'Arden Heights',7111.1853603603600859
'Queensbridge/Ravenswood',7478.2908341840457211
'Pelham Bay Park',7930.6674623115576139
'City Island',8140.3584686774941303
'Rossville/Woodrow',8202.7176256656719743
'Crotona Park',10799.985633658286676
'Forest Park/Highland Park',12514.07535197303078
'Battery Park',12925.503175578774062
'Randalls Island',13526.170987786587662
'Marine Park/Floyd Bennett Field',17549.871837642481153
'Highbridge Park',17729.852891633912648
'Breezy Point/Fort Tilden/Riis Beach',19239.147820786346443
'Willets Point',28457.029385171793478
'Newark Airport',31959.92288178589824
'Broad Channel',39688.871778755498098
'Green-Wood Cemetery',40757.569399612654237
'Astoria Park',45214.720430107524506
'Freshkills Park',80408.224203821649922
'Jamaica Bay',773118.84415584417595
'Great Kills Park',1006255.5483870967432
'Governor''s Island/Ellis Island/Liberty Island',4180347.6428571428868
'Rikers Island',4278366.2857142852331
